Players
Virat Kohli
AB de Villiers
Devdutt Padikkal
Gurkeerat Singh
Aaron Finch
Shahbaz Ahamad
Joshua Philippe
Pathiv Patel
Pawan Negi
Shivam Dube
Moeen Ali
Isuru Udana
Pavan Deshpande
Christopher Morris
Kane Richardson
Dale Steyn
Mohammaed Siraj
Navdeep Saini
Umesh Yadav
Washington Sundar
Yuzvendra Chahal
Rohit Sharma
Anmolpreet Singh
Ankul Roy
Sherfane Rutherford
Suryakumar Yadav
Chris Lynn
Saurabh Tiwary
Aditya Tare
Ishan Kishan
Quinton de Kock
Hardik Pandya
Kieron Pollard
Krunal Pandya
Rahul Chahar
Digvijay Deshmukh
Prince Balwant Rai Singh
Dhawal Kulkarni
Jasprit Bumrah
Jayant Yadav
Lasith Malinga
Mitchell McClenaghan
Trent Boult
Nathan Coulter-Nile
Mohsin Khan
Ambati Rayadu
Monu Kumar
Murali Vijay
Ruturaj Gaikwad
Suresh Raina
MS Dhoni
Jagadeesan Narayan
Asif K M
Dwayne Bravo
Faf du Plessis
Karn Sharma
Kedar Jadhav
Ravindra jadeja
Shane Watson
Sam Curran
Deepak Chahar
Harbhajan Singh
Imran Tahir
Lungisani Ngidi
Mitchell Santner
Shardul Thakur
Piyush Chawla
Josh Hazlewood
R. Sai Kishore
Shreyas Iyer
Ajinkya Rahane
Keemo Paul
Prithvi Shaw
Shikhar Dhawan
Shimron Heymyer
Jason Roy
Rishabh Pant
Alex Carey
Marcus Stoinis
Lalit Yadav
Chris Woakes
Avesh Khan
Ravichandran Ashwin
Sandeep Lamichhane
Axax Patel
Harshal Patel
Ishant Sharma
Kagiso Rabada
Mohit Sharma
Tushar Deshpande
Amit Mishra
Karun Nair
Arshdeep Singh
Chris Gayle
Darshan Nalkande
Gowtham Krishnappa
Hardus Viljoen
Harpreet Brar
Mayank Agarwal
Nicholas Pooran
Sarfaraz Khan
Prabhsimran Singh
KL Rahul
Mandeep Singh
Glenn Maxwell
Chris Jordan
Deepak Hooda
James Neesham
Tajinder Dhillon
Ishan Porel
Jagadeesha Suchith
Mohammad Shami
Ravi Bishnoi
Sheldon Cottrell
Murugan Ashwin
Andre Russell
Harry Gurney
Kamlesh Nagarkoti
Lockie Ferguson
Nitish Rana
Prasidh Krishna
Rinku Singh
Shubham Gill
Siddhesh Lad
Eoin Morgan
Tom Banton
Rahul Tripathi
Dinesh Karthik
Nikhil Shankar Naik
Sunil Narine
Pat Cummins
Shivam Mavi
Varun Chakaravarthy
Chris Green
Kuldeep Yadav
Sandeep Warrier
Pravin Tambe
M Siddharth
Riyan Parag
Shashank Singh
Steve Smith
Robin Uthappa
David Miller
Manan Vohra
Jos Butler
Sanju Samson
Anuj Rawat
Ben Stokes
Mahipal Lomror
Shreyas Gopal
Yashasvi Jaiswal
Tom Curran
Ankit Rajpoot
Jofra Archer
Mayank Markande
Rahul Tewatia
Varun Aaron
Jaydev Unadkat
Kartik Tyagi
Andrew Tye
Oshane Thomas
Anirudha Ashok Joshi
Akash Singh
Kane Williamson
Abhishek Sharma
David Warner
Manish Pandey
Priyam Garg
Virat Singh
Jonny Bairstow
Shreevats Goswami
Wridhhiman Saha
Vijay Shankar
Mitchell Marsh
Mohammad Nabi
Fabian Allen
Sandeep Bavanaka
Sanjay Yadav
Abdul Samad
Basil Thampi
Bhuvneshwar Kumar
Billy Stanlake
Rashid Khan
Sandeep Sharma
Shahbaz Nadeem
Siddarth Kaul
Syed Khaleel Ahmed
T Natarajan






































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































