S.no,Description,Question,Answer
1,The gavel during the IPL Player Auction,___________ gavel,tses
2,The gavel during the IPL Player Auction,___________ gavel,The
3,The gavel during the IPL Player Auction,___________ gavel,The
4,The gavel during the IPL Player Auction,___________ gavel,The
5,Auctioneer Hugh Meades during the IPL Player Auction,___________,Auctioneer Hugh Meades
6,Auctioneer Hugh Meades during the IPL Player Auction,___________,Auctioneer Hugh Meades
7,Auctioneer Hugh Meades during the IPL Player Auction,___________,Auctioneer Hugh Meades
8,Team Mumbai during the IPL Player Auction,___________,Team Mumbai Indians
9,Team Delhi during the IPL Player Auction,___________,Team Delhi Capitals
10,Auctioneer Hugh Meades during the IPL Player Auction,Auctioneer _____ during the IPL Player Auction,Auctioneer Hugh Meades
11,Auctioneer Hugh Meades during the IPL Player Auction,Auctioneer _____ during the IPL Player Auction,Auctioneer Hugh Meades
12,Auctioneer Hugh Meades during the IPL Player Auction,Auctioneer _____ during the IPL Player Auction,Auctioneer Hugh Meades
13,Auctioneer Hugh Meades during the IPL Player Auction,Auctioneer _____ during the IPL Player Auction,Auctioneer Hugh Meades
14,Auctioneer Hugh Meades during the IPL Player Auction,Auctioneer _____ during the IPL Player Auction,Auctioneer Hugh Meades
15,Auctioneer Hugh Meades during the IPL Player Auction,Auctioneer _____ during the IPL Player Auction,Auctioneer Hugh Meades
16,Auctioneer Hugh Meades during the IPL Player Auction,Auctioneer _____ during the IPL Player Auction,Auctioneer Hugh Meades
17,Auctioneer Hugh Meades during the IPL Player Auction,Auctioneer _____ during the IPL Player Auction,Auctioneer Hugh Meades
18,Auctioneer Hugh Meades during the IPL Player Auction,Auctioneer _____ during the IPL Player Auction,Auctioneer Hugh Meades
19,Auctioneer Hugh Meades during the IPL Player Auction,___________,Auctioneer Hugh Meades
20,Auctioneer Hugh Meades during the IPL Player Auction,___________,Auctioneer Hugh Meades
21,Auctioneer Hugh Meades during the IPL Player Auction,___________,Auctioneer Hugh Meades
